organize_louisiana_title;Invest in Louisiane;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize_louisiana_desc;Sold to America in 1803 by Napoleon Bonaparte, we have reclaimed out former colony from the Americans. Ministers within the government have suggested sending French settlers to Louisiana, to settle the colony to properly consolidate our rule once more in the new world.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize_australia_title;The Settlement of Australie;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize_australia_desc;Much like New Zealand, we have recieved Australia in our deal with the British. While a relatively minor colony, French colonial expeditions to Australia could be an important step in gaining a foothold in Southeast Asia and The Pacific.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim_catalonia_title;Claim Catalonia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim_catalonia_desc;During the times of Charlemagne he led a conquest of what now is called vandalica and over the course of history we've held it directly or at least greatly influenced it, It would be easy to take advantage of Toledus's weakened state. While the other Greater Powers will protest, Annexing Catalonia will put us one step closer to asserting our dominance over Europe.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_title;The Status of Canada;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_desc; Ever since it's liberation from the British, Canada has remained a quiet part of our Empire. It's low population, combined with the relatively isolated position has led to little change. As the British slowly parition their empire into dominions, the French-Canadian memebers of the national government have begun to question Canada's role in the French empire. Due to it's colonial status, two paths are open for Canada. Either we can create a French-Canadian dominion in the style of the British, or we could integrate Canada into metropolitan France itself. Similar successes in French Guiana has shown that distance is a non-issue. And as White, French speaking Catholics, Canada will be far easier to integrate compared to the Algerian departments. If we are to do this, we must act fast, and integrate Canada before any sort of French-Canadien nationalism can arise.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_nzl_title;The Status of Nouvelle-Zelande;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_nzl_desc;One of the most remote parts of our Empire, Nouvelle-Zelande (or New Zealand) fell under French control following a standoff between the UK and France in the 1840s. Since then, France has slowly settled the island, though it's remoteness and low population mean that it has yet to develop a truly seperate national idenitity. While granting more autonomy to New Zealand is always an option, we can also take advantage of this situation and integrate New Zealand into France itself, Similarly to nearby New Caledonia.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_australia_title;The Status of Australie;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_australia_desc;One of the more remote parts of our Empire, Australia fell under French control following a standoff between the UK and France in the 1840s. Since then, France has slowly settled the island, though it's remoteness and low population mean that it has yet to develop a truly seperate national idenitity. While granting more autonomy to Australia is always an option, we can also take advantage of this situation and integrate New Zealand into France itself, similarly to nearby New Caledonia.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_louisiana_title;The Status of Louisiane;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_imperial_federation_louisiana_desc; Ever since it's reconquest from the United States, Louisiane has been a relatively peaceful colony. But as France turns to focus on colonial exploits in Africa and Asia, the question arises on what to do with out colonies in North America. Louisiane was primarily settled in the 1840s by French settlers from France, and as such it still maintains strong ties to the Motherland. If we wish to avoid our empire fracturing like that of the Spanish or the English, we should take steps towards integrating Louisiane into Metropolitan France.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim_aosta_title;Claim The Aosta Valley;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim_aosta_desc;The Aosta Valley was the first government authority to adopt Modern French as working language in 1536, three years before France itself. French has been the official language of the Aosta Valley since 1561, and in the 1860s, over 90% of the population declared being Francophone. In addition to our claims on Savoy and Nice, we will also extend our claims to the Aosta Valley as well.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrating_french_algeria_title;Integrating French Algeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integrating_french_algeria_desc;Our attempts at settling Algeria peacefully with Frenchmen, therefore overwheling the natives,have failed. If we are to make Algeria a core part of France, then much more drastic methods must be introduced. The reactionaires propose a harsh system of oppression, forced emigration, systematic relocations, and even execution by the military if the locals refuse to follow orders. At the same time, we will offer large incentives for french families to settle in Algeria, to increase the Pied-Noir population. While the Liberals in France will be shocked and appalled, this is a neccesary action.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
send_settlers_to_algeria_title;Send Settlers to French Algeria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
send_settlers_to_algeria_desc;Giving citizenship and earninbg the loyalty of the native Algerians will not be enough to make Algeria French. If we truly want to establish ourselves in North Africa, we must send European French settlers to Algeria as well;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_quebec_question_title;The Quebec Question;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_quebec_question_desc;Reclaiming Quebec and British controlled Acadia will be our first major goal of reuniting the overseas French. However, before we resort to all-out warfare to reclaim our former American colonies, we must try our hand at diplomacy first - if we offer a large sum of money, as well as agreeing to ignore British 'goals' elsewhere, we may be able to regain Quebec without a war.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize_new_zealand_title;The Settlement of Nouvelle-Zelande;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organize_new_zealand_desc;Now that the British have backed down, New Zealand is open to French Colonization. French Names are to be given to local areas, and the administration is to be re-organized, and the first group of government funded settlers will set up the colonial administration. While there have been concerns that the native Maori will be a problem, the Military has been dispatched to forcibly pacify the natives and enforce French rule over the Islands. A nation-wide propaganda campaign will be organized to attract settlers to the Islands, to avoid the low population problems that French Lousiana and New France suffered from, however the effectiveness of these policies will remain to be seen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walloon_autonomy_title;Grant Wallonia Autonomy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walloon_autonomy_desc;Our recent annexation of Wallonia has not gone as smoothly as planned. Small cultural differences are present, and the Walloon-ran local government resists our attempts to centralize power. If we were to grant Wallonia a degree of autonomy (which may be revoked later), we will be able to quell any unrest and work towards fully adding Wallonia into the French Nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_french_menace_title;The French Menace;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the_french_menace_desc;While Germany has only been unified for a short amount of time, it has spent much of it's short history fighting the French government over ElsaB-Lothringen. Even now, France continues to oppress the germans living there. If we are to ensure german superiority, we must remove the French menace once and for all...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vichy_france_title;Create Vichy France;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vichy_france_desc;While our invasion of France has been a success, the costs of occupation, in both manpower and resources, is unsustainable in the long run. If we want to continue our pacification of France, we should create a puppet state in the south as a legal continuation of the French Government, however under our stict jurisdiction. Northern France. and France's colonies, will remain German possesions.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
establish_panfrenchism_title;Encourage French Pan-Nationalism;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
establish_panfrenchism_desc;While France is certainly more united compared to it's German or Italian neighbors, the fact remains that large amounts of French-cultured people reside outside of France's borders. The Swiss people in Romandie, The Walloons in the low countries, and even the French-Canadians in Quebec, are all French at heart. If we were to encourage French pan-nationalism, both here and abroad, we may be able to one day re-unite the French peoples of the world under a single French flag.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_desc;Despite early British confidence, British forces were unable to make any gains against France. The British are willing to bring an end to the war by seceding Quebec and Acadia in its entirety, however in return we would recognize British control in the rest of North America.\n\n§RNOTE: This will only give you Quebec and Acadia but NOT all of Canada, this removes the ability to go for French Lousiana.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris2_title;The Treaty of Montreal ($YEAR$);;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris2_desc;Despite early British confidence, they have suffered a immense defeat at the hands of our armies, the French flag flies once again in Quebec and Acadia and British have agreed to secede the whole of British North America to our control. This is a glorious day for the French people! ;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_title;The Treaty of Paris ($YEAR$);;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haitian_integration_title;Integrate Haiti;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haitian_integration_desc; While France has restored order to the rebelliuos colony of Haiti, resistance and tension has persisted in the colony. If we were inbest heavily in Haiti, as well as extend equal rights to the Haitians and make Haiti a part of Metropolitan France, we may finally be able to calm the island's citizenry down and regain the loyalty of the haitians.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_telegraph_line_to_uruguay_title;A Telegraph Line to Uruguay;;;;;;;;;;;;x
a_telegraph_line_to_uruguay_desc;The laying of a telegraph line to connect Buenos Aires with Montevideo has been proposed. This would greatly improve communications and relations between the two countries.;;;;;;;;;;;;;x
found_the_school_of_military_aviation_title;Found the School of Military Aviation;;;;;;;;;;;;x
found_the_school_of_military_aviation_desc;The School of Military Aviation (Escuela de Aviación Militar, EAM) was founded in 1912 under president Roque Saenz Peña, who named colonel Arenales Antonio Uriburu as its first head. This represents a desire to learn and put into practice the newest theories on modern air warfare.;;;;;;;;;;;;;x
slovene_language_at_celje_gymnasium_title;Slovene Language at Celje Gymnasium;;;;;;;;;;x;;;x
slovene_language_at_celje_gymnasium_desc;Beginning in 1888 Slovene deputies in the Reichsrat raised demands for the introduction of Slovene classes at the Gymnasium in Celje, a town in Lower Styria historically German but demographicaly with a Slovene majority. German deputies ralied against the proposal and a fierce debate began in Austria regarding language use in historically German towns experiencing growing settlement of Slavs.;;;;;;;;;;X;;;x
act_on_language_in_bohemia_title;Act on Language in Bohemia;;;;;;;;;;;;x
act_on_language_in_bohemia_desc;The rise of Czech nationalism led activist Czech politicians to increasingly demand reform in Bohemia that would make Czech an official language of internal administration on par with German, and require all civil servants to know both languages. Needing Czech support in Parliament, on 5 March 1897 Austrian prime minister Badeni introduced a law that would fulfill the Czech demands. Bohemian Germans condemn the proposed legislation, which would benefit Czechs greatly since they learned both Czech and German in school while the Germans had not been required to learn Czech.;;;;;;;;;;;;;x
the_final_abolishment_of_serfdom_title;The Final Abolishment of Serfdom;;;;;;;;;;;;x
the_final_abolishment_of_serfdom_desc;Weakened by the many revolutions in the Empire in 1848, some reformers argued that to pacify discontented serfs, serfdom should be abolished fully throughout the Empire. Some called for landowners to receive a compensation equal to two thirds of the value of the land lost. Half of the compensation was to be paid by the state and other half by serfs themselves.;;;;;;;;;;;;;x
state_visit_to_argentina_title;State Visit to Argentina;;;;;;;;;;;;x
state_visit_to_argentina_desc;President Campos Sales has been invited to Buenos Aires on an official visit to help promote closer relations between the two nations. The Chilean press, due to currently strained relations between Chile and Argentina, are speculating that we are about to form an alliance with Argentina against Chile. Should we accept the invitation?;;;;;;;;;;;;;x
establish_the_observatorio_astronomico_title;Establish the Observatorio Astronómico;;;;;;;;;;;;x
establish_the_observatorio_astronomico_desc;Quito's location high in the Andes and straddling the Equator has long encouraged scientists to visit the city to study the stars. With the support of the Jesuits and support from British, French, American and German scientific groups, it has been proposed that the Ecuadorian government help fund the construction of a new observatory based on the use of the latest scientific methods and tools. Should we support the project?;;;;;;;;;;;;;x
paraguayan_law_of_the_free_womb_title;Law of the Free Womb;;;;;;;;;;;;x
paraguayan_law_of_the_free_womb_desc;In 1842, Carlos Antonio López, rather than free the slaves, instead enacted the Law of the Free Womb, which ended the slave trade and guaranteed that the children of slaves would be free at age twenty-five. But the new law served only to increase the slave population and depress slave prices as slave birthrates soared.;;;;;;;;;;;;;x
reaffirm_paraguayan_independence_title;Reaffirm Paraguayan Independence;;;;;;;;;;;;x
reaffirm_paraguayan_independence_desc;On November 25th 1842, a congress that reaffirmed the Paraguayan independence from Argentina took place in Asuncion, which increased the Paraguayan national pride.;;;;;;;;;;;;;x
start_the_campaign_against_the_guaranis_title;Start the Campaign Against the Guaranis;;;;;;;;;;;;x
start_the_campaign_against_the_guaranis_desc;In 1843, López undertook a bloody campaign against the Guarani Indians who inhabited yerba mate fields. López made yerba mate and exportable lumber properties of the state.;;;;;;;;;;;;;x
student_exchange_and_importation_of_technicians_title;Student Exchange and Importation of Technicians;;;;;;;;;;x;;;x
student_exchange_and_importation_of_technicians_desc;Carlos Antonio López, worried with the development of industry, instead of consuming the income gotten with leather and yerba-mate exports and with the tariffs imposed on imports of manufactured products, the new dictator chose to increase the technical expertise of the country, aiming at increasing internal production. Paraguayan students were sent to foreign nations and foreign technicians were contracted.;;;;;;;;;;X;;;x
send_solano_lopez_to_europe_title;Send Solano López to Europe;;;;;;;;;;x;;;x
send_solano_lopez_to_europe_desc;In 1853, Francisco Solano López, Carlos Antonio López's son, travelled to Europe to buy arms for the Paraguayan army. In Europe he fell in love with Elisa Alicia Lynch, who would live with him until his last days. In Europe he also admired the trappings and pretensions of the French empire of Napoleon III.;;;;;;;;;;X;;;x
recognize_argentinas_independence_title;Recognize Argentina's Independence;;;;;;;;;;;;x
recognize_argentinas_independence_desc;Our court is analyzing the decision of visiting Argentina. This act will strenghten our relations with the South American countries and could open new areas of trade for us. Of course, this will upset the Spanish.;;;;;;;;;;;;;x
the_vesuvius_observatory_title;The Vesuvius Observatory;;;;;;;;;;;;x
the_vesuvius_observatory_desc;An observatory was founded by Ferdinand II Bourbon for the study of the volcanic activity of Mt. Vesuvius. As director of the Vesuvius Observatory, Luigi Palmieri first adapted the seismograph to as a means to record and forecast volcanic eruptions.;;;;;;;;;;;;;x
will_receive_title;Request A Grant;;;;;;;;;;;;;
will_receive_desc;This will request a grant from other players. Please note they must have choosen the decision to enable giving grants for the request to go through. It can be reversed at any time.;;;;;;;;;;;;;
#will_not_receive_title;Disable Receiving Grants;;;;;;;;;;;;;
#will_not_receive_desc;This will prohibit other players from giving us grants. It can be reversed at any time.;;;;;;;;;;;;;
will_give_title;Enable Giving Grants;;;;;;;;;;;;;
will_give_desc;This will allow us to give grants to other players. It must be activated before a player chooses to request grants. It can be reversed at any time.;;;;;;;;;;;;;
will_not_give_title;Disable Giving Grants;;;;;;;;;;;;;
will_not_give_desc;This will prevent us from getting events when other players request grants. It can be reversed at any time.;;;;;;;;;;;;;
cologne_cathedral_title;The Cathedral of Cologne;;;;;;;;;;;;;x
cologne_cathedral_desc;With the 19th century romantic enthusiasm for the Middle Ages, and spurred on by the lucky discovery of the original plan for the façade, it was decided, with the commitment of the Court, to complete the cathedral. It was achieved by civic effort. In 1840, the burghers of Cologne petitioned the king for the foundation of a association regarding the buidling of the Cologne cathedral. After the permission and promised financial help, the Central-Dombauverein was founded in 1842. The association raised two-thirds of the enormous costs (over 1 billion US-Dollar in today's money), while the state supplied the remaining third.;;;;;;;;;;;;;x
free_press_in_baden_title;Abolish Censorship of the Press!;;;;;;;;;;;;x;
free_press_in_baden_desc;As one of the pioneers of liberalism and constitutionalism, until 1832 Baden had been one of the few states with the freedom of the press. However, under immense pressure of the reactionary governments in the German Confederation - namely Prussia and Austria - we were forced to abolish this fundamental right. We can try to reintroduce free press rights, but we will face the wrath of these two great powers once again.;;;;;;;;;;;;x;
build_goethe_denkmal_title;The Goethe monument;;;;;;;;;;;;x;
build_goethe_denkmal_desc;Goethe is the greatest son of Frankfurt. It is time to edify a monument for this german hero of literature - it will be an event which will be notified in the whole Confederation!;;;;;;;;;;;;x;
the_grunderzeit2_title;Gründerzeit' Architecture;L'architecture du Gründerzeit;Gründerzeit-Architektur;;Arquitectura 'Gründerzeit';;;;;;;;x;
the_grunderzeit2_desc;The 'Gründerzeit', 'The Founding Era', refers to a period, stretching roughly from 1840 to the mid 1870s, of rapid economic modernization and industrialization of Germany and eastern Europe in general, and Vienna in particular. The era became know among other things for a its particular style of architecture, inspired by neo-gothic themes and imagery and the new building styles that industrialization had made possible, as well as for the rising tide of political liberalism that came with it. Support these new trends, and watch our capital blossom.;"Le ""Gründerzeit"" (époque des fondateurs) désigne une période comprise entre 1840 et le milieu des années 1870 qui se caractérise par la modernisation économique et l'industrialisation rapides de l'Allemagne et l'Europe de l'est en général, et de Vienne en particulier. Cette période est notamment connue pour son style architectural (inspiré par les thèmes et l'imagerie néogothiques ainsi que par les nouveaux styles de bâtiments que l'industrialisation avait rendu possibles) et pour la vague montante de libéralisme politique qui l'accompagna. Soutenez ces nouvelles tendances et assistez à la floraison de Vienne.";Der Ausdruck 'Gründerzeit' bezieht sich auf eine Periode, die sich grob von 1840 bis Mitte der 1870er Jahre erstreckte. In dieser Phase war Deutschland und Osteuropa, besonders Wien, Schauplatz rascher wirtschaftlicher Modernisierung und Industrialisierung. Die Ära wurde unter anderem für ihren besonderen architektonischen Stil berühmt, der von neugotischen Themen und von der Industrialisierung ermöglichten Baustilen sowie dem damit einhergehenden Aufstieg des politischen Liberalismus inspiriert wurde. Dies war besonders in Wien der Fall. Wenn wir diese neuen Trends unterstützen, wird Wien aufblühen.;;La 'Gründerzeit' o 'era de los fundadores' hace referencia a un período que va más o menos de la década de 1840 a mediados de la década de 1870 que se caracterizó por una rápida modernización económica de Alemania y Europa Oriental en general, especialmente de Viena. Esta era fue conocida entre otras cosas por su particular estilo de arquitectura inspirado por temas e imaginería neogótica y por los nuevos estilos de construcción que la industrialización había hecho posible. También fue conocida por la oleada de liberalismo político que al acompañó. Viena, en esta era, apoyaría esas nuevas tendencias y experimentaría un gran florecimiento.;;;;;;;;x;
build_schiller_denkmal_title;Honour Schiller;;;;;;;;;;;;x;
build_schiller_denkmal_desc;Friedrich Schiller was the greatest son of Württemberg. He was a poet, philosopher, historian, and playwright. Schiller stands in one row with Goethe, and both were the leaders of the period which is known as Weimar Classicism. It is time to build a monument for him. This will reassure a little bit the liberal elite in the short term, but may have influence on the national movement in the long term.;;;;;;;;;;;;x;
build_neuschwanstein_title;Neuschwanstein Castle;;;;;;;;;;;;x;
build_neuschwanstein_desc;Neuschwanstein Castle is a 19th-century Romanesque Revival palace on a rugged hill above the village of Hohenschwangau near Füssen in southwest Bavaria, Germany. The palace was commissioned by Ludwig II of Bavaria as a retreat and as a homage to Richard Wagner. The palace was intended as a personal refuge for the reclusive king, but it was opened to the paying public immediately after his death in 1886. Later, Neuschwanstein became a global of the era of the era of Romanticism. ;;;;;;;;;;;;x;
build_maximilianstrasse_title;Maximilianstraße;;;;;;;;;;;;x;
build_maximilianstrasse_desc;The neo-Renaissance Maximilianstraße in Munich is one of the city's four royal avenues. It starts at Max-Joseph-Platz, where the Residenz and the National Theatre are situated, and runs from west to east. Principal was king Maximilian II of Bavaria, who started the project in 1850, the avenue is named for his honour. Leading architect was Friedrich Bürklein. With this project, the king also aimed to 'invent' a new architectural style which would combine the best features of historical models combined with then modern building technology. The avenue is framed by mostly neo-Gothic buildings influenced by the English Perpendicular style. With its palaces, monuments and hotels, the Maximilianstraße became one of the most attractive streets in Germany and Europe.;;;;;;;;;;;;x;
build_museum_title;An Archaeological Museum;;;;;;;;;;;;x;
build_museum_desc;Now that we have excavation rights for our expedition, we should establish a museum in our capital for our artefacts.;;;;;;;;;;;;x;
early_archaeology;Early Archaeology;;;;;;;;;;;;x;
early_archaeology_desc;Archaeology is the study of human activity, primarily through the recovery and analysis of the material culture and environmental data that they have left behind, which includes artifacts, architecture, biofacts and cultural landscapes (the archaeological record). Study of human antiquity date back in the days of the Renaissance, but in the 19th century, Archaeology evolved to a real science. Archaeologists began to investigate various areas around the world, with the study of ancient Aegean civilization being stimulated by the excavations of Heinrich Schliemann at Troy, and of Arthur Evans at Crete, whilst John Lloyd Stephens was a pivotal figure in the rediscovery of Maya civilization throughout Central America. However, the methodologies employed by these archaeologists were highly flawed by the standards of the 20th century.;;;;;;;;;;;;x;
modern_archaeology;Modern Archaeology;;;;;;;;;;;;x;
modern_archaeology_desc;Further advancements in archaeological field methodology arose in the late 19th century. One of the pioneering figures in this was Augustus Pitt Rivers, who meticulously excavated on Cranborne Chase in southern England, emphasising that it was not only items of beauty or value that should be recorded but mundane items as well. He therefore helped to differentiate archaeology from antiquarianism. Flinders Petrie introduced systematic methodology in archaeology and preservation of artifacts. Archaeologists - once nothing more than tomb raiders - became reputable scientists.;;;;;;;;;;;;x;
maya_excavations_title;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
maya_excavations_desc;When the Panama Canal was planned, several expeditions were send in the regions of Central America. The inhabitants of the large jungles of Yucatan narrate stories of old cities and treasures. Adventurers and tomb raiders crossed this area and found ruins or steles. What precious items and artefact may rest in the depth of the nature? We should outfit an expedition and search for some new artefacts - only in the name of science, naturally!;;;;;;;;;;;;x;
inca_excavations_title;The Golden Andes;;;;;;;;;;;;x;
inca_excavations_desc;The discovery of Machu Picchu has generated newly interest in affairs considering an archeological expedition in the Andes Mountains. The legendary tales of hidden cities, vast gold treasures and valuable artefacts are only an illusion, and an X never, ever marks the spot. But now, that Archaeology has become a high regarded science, we should send some experts to broaden our mind.;;;;;;;;;;;;x;
forced_maya_excavations_title;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
forced_maya_excavations_desc;When the Panama Canal was planned, several expeditions were send in the regions of Central America. The inhabitants of the large jungles of Yucatan narrate stories of old cities and treasures. Adventurers and tomb raiders crossed this area and found ruins or steles. What precious items and artefact may rest in the depth of the nature? We should outfit an expedition and search for some new artefacts - only in the name of science, naturally! And since we control this region, we can outfit an expedition immediately;;;;;;;;;;;x;
forced_inca_excavations_title;The Golden Andes;;;;;;;;;;;;x;
forced_inca_excavations_desc;The discovery of Machu Picchu has generated newly interest in affairs considering an archeological expedition in the Andes Mountains. The legendary tales of hidden cities, vast gold treasures and valuable artefacts are only an illusion, and an X never, ever marks the spot. But now, that Archaeology has become a high regarded science, we should send some experts to broaden our mind. Since we controll this region, we can begin directly.;;;;;;;;;;;;x;
maya_excavations;The Forgotten Cities of Yucatan;;;;;;;;;;;;x;
inca_excavations;The Gold of the Inca;;;;;;;;;;;;x;
forced_maya_excavations;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
forced_inca_excavations;The Golden Andes;;;;;;;;;;;;x;
mesopotamian_excavations;The Cradle of Civilization;;;;;;;;;;;;x;
mesopotamian_excavations_title;The Cradle of Civilization;;;;;;;;;;;;x;
mesopotamian_excavations_desc;Mesopotamia, the lands of Babylonia, Akkadia and Assyria, are still a notable area for archaeological discoveries. Instead of the old methods of tomb raiding, or the largely nonprofessional excavations in Egypt, it is time for a modern expedition, with new methods and scientific standards.;;;;;;;;;;;;x;
forced_mesopotamian_excavations_title;The Cradle of Civilization;;;;;;;;;;;;x;
forced_mesopotamian_excavations_desc;Mesopotamia, the lands of Babylonia, Akkadia and Assyria, are still a notable area for archaeological discoveries. Instead of the old methods of tomb raiding, or the largely nonprofessional excavations in Egypt, it is time for a modern expedition, with new methods and scientific standards.;;;;;;;;;;;;x;
local_excavations;Local excavations;;;;;;;;;;;;x;
local_excavations_desc;Local excavations are held to train our archaeologists.;;;;;;;;;;;;x;
inca_excavations_interrupted;Contact to expedition lost;;;;;;;;;;;;x;
